epoch,loss,average_precision,roc_auc
1,0.662926007539798,0.6813835259997869,0.7200807291666665
2,0.5867479007977706,0.713240225591998,0.7610440304487179
3,0.5641162112737313,0.7366391621655146,0.7802967147435899
4,0.5556046061026745,0.7403529452282122,0.7837013221153847
5,0.5352418330999521,0.7795108068327742,0.8062594150641027
6,0.4979038322583223,0.8158665263624396,0.8349717948717947
7,0.48121928710203904,0.8433415585384458,0.8520916666666665
8,0.46711595012591434,0.8505949038728977,0.8630045272435897
9,0.4514833772793794,0.857996948764401,0.870866065705128
10,0.43690696817177993,0.8729885565330091,0.8819714743589743
11,0.43043974653268474,0.873965100000934,0.886167548076923
12,0.4121517462608142,0.8879360643626225,0.896231450320513
13,0.4097513999694433,0.889478875606495,0.8975251602564105
14,0.39827775267454296,0.8955551504079379,0.9052260416666666
15,0.3950700278465564,0.8981833597121605,0.9064936698717949
16,0.39390422365604305,0.8996845256222493,0.9059723958333333
17,0.37887398172647524,0.9051699015635436,0.9117868589743591
18,0.3667673101791969,0.9091656859224937,0.9183452724358973
19,0.36854408031854874,0.9110564038259968,0.9153725961538461
20,0.3551093844267038,0.9210734762228535,0.9241049679487181
21,0.35475142032672197,0.9200328304083576,0.9230419871794872
22,0.34737013318599796,0.9258337126486771,0.9267463541666668
23,0.33945760360130894,0.9264176998830603,0.9297390625
24,0.33867580730181474,0.928106121804974,0.9298334935897438
25,0.33565546381167877,0.9311804620140612,0.9322273237179487
26,0.32251202525236666,0.9345537224484723,0.9359321714743587
27,0.3192264017386314,0.93867304083567,0.9390402243589744
28,0.3166604653382913,0.9389404008520631,0.9393324118589741
29,0.30566261326655364,0.9410224353843881,0.9421048076923078
30,0.3156902102323679,0.9411648586804094,0.9402987980769228
31,0.30840056867171556,0.9439473505481283,0.9439016025641026
32,0.300934095795338,0.9448879669972692,0.9455092948717947
33,0.2936479775951459,0.948354179911999,0.9478219951923078
34,0.2939519274693269,0.9480627181269978,0.947422636217949
35,0.29258981805581313,0.9484565847667593,0.9479675080128206
36,0.29780511691784245,0.9484352978877941,0.9474999599358975
37,0.2906378698654664,0.9484098457843436,0.9487602964743592
38,0.29016924668581057,0.948461950396561,0.949221875
39,0.2943229426940282,0.9481987069361577,0.9483157051282048
40,0.2874949608857815,0.950165569346351,0.9500128205128205
41,0.2817831085278438,0.9516888688458414,0.9515817307692307
42,0.27475631657319194,0.9537750244436515,0.9544859375000001
43,0.27446908904955936,0.9561320791663195,0.9550894631410254
44,0.2767575360261477,0.9524050645223053,0.9532581330128204
45,0.2779639902023169,0.9521702421744374,0.9533971153846152
46,0.2705707828967999,0.9558133288130918,0.9553025641025641
