encoder,best_val_mrr,best_val_acc,best_val_recall3,num_parameters,final_train_loss,final_val_loss,epochs_trained
mercer_rel,0.6134228372388194,40.346907993966816,0.7820512819613806,137558,1.0905779344694955,1.901186083776379,42
lete_rel,0.6124499619762849,40.27149321266968,0.7858220212060402,156214,1.1906110573382604,1.7911990535744715,40
mercer_abs,0.607191795650007,39.59276018099548,0.789592760091094,137558,0.9434210161368052,1.9513403186251495,49
k_mote_rel,0.6069170874251392,39.44193061840121,0.7812971343282121,253529,1.0118688415913355,1.9706121857529493,50
k_mote_abs,0.6061340249622126,39.743589743589745,0.7752639520042443,253529,0.9951615106491816,1.923313021839654,52
lete_abs,0.6037895745861929,39.29110105580694,0.7805429866950436,156214,0.9317906484717414,1.9907317715352837,53
fte_rel,0.6023231745837269,39.14027149321267,0.7730015085653302,136534,1.0790176675433205,1.9235593810520202,58
kan_mammote_full,0.6020990733061534,39.44193061840121,0.7760180999970184,684588,0.9330911182221913,2.013408539701551,53
lstm_only,0.6008172357612176,38.914027149321264,0.76244343972314,137878,1.143024695771081,1.8914786010845754,35
fte_abs,0.6001183055132352,38.914027149321264,0.7631975877159142,136534,1.5762051003319877,1.7429512061324774,30
