epoch,loss,average_precision,roc_auc
1,0.5630356656580136,0.7112875553297232,0.7367721999761955
2,0.5219753469372618,0.7721347642188702,0.7859320963408828
3,0.503353213741519,0.7936512655748661,0.8059310289566755
4,0.49625267302510384,0.806199760811853,0.8159476135822621
5,0.4953284462292989,0.8029971666538123,0.8114192607376047
6,0.48779192592563303,0.8167968479711345,0.8276546470108141
7,0.47992757129771957,0.8239935932087089,0.8325526376419777
8,0.4752578008277663,0.8326701097117897,0.8419873894783378
9,0.4897158782201252,0.8137321764166993,0.8202295656073592
10,0.4867282198506525,0.8174001774859513,0.8267668135329526
11,0.47686270594425584,0.8289355571408403,0.8360672031218117
12,0.4647601916529666,0.8437870129530521,0.8521436273634633
