epoch,loss,average_precision,roc_auc
1,0.42107254318122206,0.8926835184817832,0.8941830214733809
2,0.3523719007231919,0.9196603788961681,0.9201475992909567
3,0.33217845291926945,0.9305671270172361,0.9311088480316069
4,0.29520758399235203,0.9444297764072697,0.9458595947821911
5,0.27514810940902223,0.9523942696971587,0.9529688233644559
6,0.2571880814844164,0.9593711986070157,0.9595606145261623
7,0.2430978154791106,0.9636026413205541,0.9638927958593745
8,0.23342423040071145,0.9663852717131172,0.9664281138891654
9,0.22730806326778064,0.9678266652820041,0.9682340635854572
10,0.22437313839499587,0.9691470327796207,0.9691107376422625
