epoch,train_loss,train_acc,val_loss,val_acc
1,2.02547872950236,30.81,1.7493693006515503,42.02
2,1.5859635469436646,49.19,1.449297636604309,58.0
3,1.2969079053243002,60.755,1.1416979986190796,64.49
4,1.0557628004074098,67.33666666666667,0.9827323755264282,69.47
5,0.8942664850552877,73.17,0.8256589189529419,75.6
6,0.7679094979604085,76.98833333333333,0.6905306063652038,78.79
7,0.6762273418744406,79.76833333333333,0.6590781086921692,80.17
8,0.6051733311971028,81.94333333333333,0.5889923102378846,81.38
9,0.5583067730903626,83.29666666666667,0.523872111415863,83.84
10,0.5217443483352661,84.29666666666667,0.5078985269546509,84.66
11,0.46940741127332053,85.91833333333334,0.45990843658447267,85.57
12,0.43345502610206604,87.04166666666667,0.4107731755256653,87.21
13,0.4085588412443797,87.63,0.4256148627281189,86.79
14,0.3848131738503774,88.3,0.3424470811843872,89.48
15,0.36075223031044007,89.00833333333334,0.3421112159729004,89.42
16,0.34115914295514427,89.555,0.3203874150753021,90.25
17,0.3292653011480967,89.93166666666667,0.42107168779373166,86.9
18,0.3171939459005992,90.42333333333333,0.34726780519485473,88.8
19,0.29400169140497845,90.95833333333333,0.35868206615448,88.79
20,0.28526599049568174,91.265,0.3141486586093903,90.31
21,0.2721583620707194,91.68166666666667,0.2775016338348389,91.65
22,0.2616490917921066,91.97833333333334,0.27081496052742005,91.99
23,0.2518435715119044,92.34833333333333,0.2660671915054321,91.88
24,0.24423563618659974,92.465,0.251032080745697,92.01
25,0.2305028250058492,92.98333333333333,0.24926053690910338,92.18
26,0.22575802713632584,93.1,0.25830225591659545,91.83
27,0.21761340419451394,93.29166666666667,0.22728935689926147,92.8
28,0.21469883873462678,93.36166666666666,0.22387957830429078,92.84
29,0.2065862460454305,93.63333333333334,0.2180743450641632,93.22
30,0.2035438669761022,93.685,0.21563182716369628,93.15
31,0.1937529665708542,94.09833333333333,0.21805631446838378,93.21
32,0.18948678295612334,94.195,0.19828751277923584,93.9
33,0.1947462289094925,93.92833333333333,0.23311346011161804,92.78
34,0.18512973213195802,94.37333333333333,0.1972435348510742,93.9
35,0.17655002652804055,94.54833333333333,0.22461236085891723,93.05
