epoch,train_loss,train_acc,val_loss,val_acc
1,2.163626977793376,20.07,1.8817392623901368,32.69
2,1.8586362610499063,31.645,1.6928101987838746,39.67
3,1.4321601696014403,48.346666666666664,1.1537684038162233,57.21
4,1.0766552165349323,60.305,0.9705507961273193,64.65
5,0.9984374137878418,63.598333333333336,1.4917017307281495,49.36
6,0.8847108104705811,68.31833333333333,0.7939879871368408,70.18
7,0.7363414540290832,73.31,0.7342791333198547,73.51
8,0.6745565412521363,75.88,0.7524693808555603,73.53
9,0.6616347714424133,75.99833333333333,0.5724921466827393,79.22
10,0.6400081251780192,77.02833333333334,0.7642171640396118,72.37
11,0.5708740817387898,79.41,0.5029468202590942,81.91
12,0.5936767512003581,78.67666666666666,0.5401302763938903,80.98
13,0.5154941108226776,81.43833333333333,0.47306730194091795,83.36
14,0.478297377761205,82.95333333333333,0.44433512868881225,84.37
15,0.47905522322654726,82.89333333333333,0.43618476152420044,84.58
16,0.462940292930603,83.55333333333333,0.46046345863342286,83.3
17,0.4515884028116862,83.85666666666667,0.44111310844421386,84.26
18,0.4182373137633006,85.00166666666667,0.4470272698402405,83.94
19,0.40932159272829693,85.37666666666667,0.41611380586624147,84.98
20,0.38530318627357485,86.23666666666666,0.3689301305294037,87.28
21,0.37695488866170246,86.42166666666667,0.39320620975494386,86.4
22,0.3929057987054189,85.74,0.5072938775062561,81.89
23,0.3920174338658651,86.01666666666667,0.34554973373413084,87.42
24,0.38281485129992165,86.34,0.34795240387916565,87.86
25,0.3463248561064402,87.53666666666666,0.3678405414581299,86.87
26,0.3632459414164225,87.005,0.4240480618476868,84.96
27,0.34713482297261555,87.52666666666667,0.3511877640247345,87.34
28,0.32800737900733945,88.22166666666666,0.32514131631851195,88.7
29,0.3256490576585134,88.19166666666666,0.3808277535915375,86.57
30,0.31601806310017905,88.595,0.3456708191394806,87.96
31,0.3268605442047119,88.10166666666667,0.3326634528160095,88.31
32,0.3115347790400187,88.73333333333333,0.3387640493869781,88.07
33,0.31082835013071697,88.72333333333333,0.32590601801872254,88.23
34,0.29262116373380026,89.63,0.3335488248825073,88.54
35,0.3105405795574188,88.87833333333333,0.3004523988723755,89.52
36,0.3029372246026993,89.15666666666667,0.3213361310005188,88.57
37,0.2914406418800354,89.41333333333333,0.2940209551334381,89.91
38,0.28080866345564526,89.82833333333333,0.30735321083068845,88.98
39,0.29113223746617634,89.5,0.3082699735641479,89.41
40,0.26705909113883974,90.46,0.34264180445671083,87.98
41,0.27161534214814503,90.215,0.3422606755256653,88.3
42,0.27239625633557635,90.09833333333333,0.3372435909748077,88.04
43,0.27548282505671184,90.04333333333334,0.32210929355621337,88.8
44,0.27204235479036964,90.14,0.3453788174152374,88.12
45,0.2637079812685649,90.535,0.343539649438858,88.11
46,0.26988196980158485,90.16,0.2876084165096283,90.22
47,0.2638674151738485,90.45166666666667,0.3465619209766388,88.09
48,0.2574636603673299,90.66166666666666,0.28797229962348936,89.94
49,0.24545416527589162,91.04666666666667,0.2810705245494843,90.31
50,0.2424876531600952,91.25166666666667,0.2835673961162567,90.14
51,0.2408316965977351,91.315,0.2942348309516907,89.99
52,0.25991454222202304,90.60833333333333,0.2874540292263031,90.11
53,0.24025801550547282,91.39333333333333,0.27975156512260435,90.26
54,0.24297054226398468,91.24333333333334,0.2912971378326416,90.23
55,0.24242241327762604,91.10833333333333,0.30295571331977844,89.46
56,0.2503162789026896,90.77166666666666,0.30028848776817324,89.86
57,0.2257142313639323,91.79833333333333,0.28591996040344236,89.91
58,0.22327240989208222,91.94166666666666,0.27935700998306273,90.4
59,0.23437046205202738,91.47166666666666,0.28385940685272215,89.85
60,0.23967869408925374,91.24166666666666,0.26857413811683656,90.75
61,0.23564737555185955,91.48666666666666,0.27300168824195864,90.58
62,0.22108742894331615,91.99666666666667,0.2737099732398987,90.73
63,0.22440839975674948,91.93333333333334,0.32676339473724364,88.89
64,0.2242335166454315,91.90666666666667,0.2949156679630279,89.79
65,0.21141922572453817,92.31666666666666,0.27502049403190615,90.64
66,0.2059693287372589,92.6,0.28759904851913454,90.16
67,0.20407213551998138,92.53666666666666,0.3358349675178528,88.86
68,0.20824102341334025,92.49333333333334,0.29088376922607423,90.13
69,0.21298068149089813,92.23,0.2783059275627136,90.81
70,0.20968772634665173,92.335,0.2819323285579681,90.49
71,0.2121363480647405,92.31666666666666,0.28934101338386536,90.12
72,0.1897931172688802,93.14,0.2939701580524445,90.08
73,0.20110124599138895,92.705,0.28301142683029173,90.4
74,0.19745402949651084,92.81,0.30684536762237546,89.56
75,0.20361185710430146,92.46666666666667,0.26509307527542114,91.26
76,0.1970757822036743,92.80833333333334,0.2966223918914795,90.2
77,0.19324239195187887,92.995,0.2987189496994019,90.1
78,0.20306358261903126,92.66,0.28621007318496705,90.6
79,0.2112317223707835,92.29166666666667,0.2944789478302002,90.16
80,0.204297199233373,92.52833333333334,0.40642931127548215,86.36
81,0.20395061469078063,92.57333333333334,0.26516663551330566,91.15
82,0.18095829026699067,93.445,0.31892638454437255,89.62
83,0.1843055239399274,93.35666666666667,0.30256963591575625,90.21
84,0.17595056992371877,93.58333333333333,0.2714486750125885,91.18
85,0.1774395943125089,93.44166666666666,0.30267995862960817,90.27
