epoch,train_loss,train_acc,val_loss,val_acc
1,1.8802933143615723,31.963333333333335,1.6469251859664917,39.33
2,1.4220078428268432,49.685,1.3975976556777954,50.46
3,1.132561776161194,60.751666666666665,0.9330075027465821,68.13
4,0.8483895928700765,71.19166666666666,0.712132458114624,75.78
5,0.7072848187446594,76.13,0.6286948830604553,79.36
6,0.6273242281277974,79.405,0.6672729676246643,77.64
7,0.5317023747444153,82.905,0.5331732953071594,83.2
8,0.4603576282342275,85.32833333333333,0.40682081022262573,87.42
9,0.3798406031449636,88.18666666666667,0.4140937361240387,86.68
10,0.33529615179697675,89.5,0.28766738920211793,91.33
11,0.2896532778898875,90.915,0.25076619930267335,92.36
12,0.2657260853370031,91.665,0.25544559636116027,92.28
13,0.24592115309238433,92.235,0.26011314663887025,92.15
14,0.2135259842157364,93.305,0.24432286677360535,92.8
15,0.20262836819489796,93.78,0.19947665543556214,93.91
16,0.18067147817611695,94.37,0.23040819611549376,92.89
17,0.16982217801411947,94.715,0.3820287759780884,88.5
18,0.17155476588408153,94.625,0.1860345811843872,94.38
19,0.16267567791342735,94.835,0.15460971705913543,95.13
20,0.15122407054901124,95.26833333333333,0.20759990949630738,93.79
21,0.14380614755551022,95.51166666666667,0.177391991686821,94.65
22,0.13661810823678971,95.67166666666667,0.16539996173381805,95.12
23,0.13598679105440775,95.70666666666666,0.17922055802345277,94.37
24,0.12061735027829806,96.19166666666666,0.13091691119670867,96.06
25,0.12121863958239555,96.12166666666667,0.12455894355773926,96.18
26,0.12367026631832123,96.06166666666667,0.16704675006866454,94.83
27,0.11407344032724698,96.36833333333334,0.13658216171264648,95.66
28,0.10798177952766419,96.54333333333334,0.130311874628067,95.96
29,0.10858434662421544,96.54166666666667,0.1323359572172165,95.89
30,0.10501247035662334,96.69,0.12074672286510467,96.27
31,0.09456240553061167,97.025,0.12487507028579711,96.12
32,0.10087935886383056,96.76833333333333,0.1282949157476425,96.2
33,0.09676820248365402,96.875,0.12283573892116546,96.19
34,0.09370229440927505,96.99833333333333,0.11558036880493164,96.56
35,0.08436030575434367,97.33166666666666,0.14363055548667908,95.62
36,0.07866712406078974,97.435,0.12173790466785431,96.34
37,0.08415885880192121,97.28333333333333,0.1144807734489441,96.55
38,0.08072517203887304,97.40166666666667,0.12301687016487121,96.13
39,0.07695119915207227,97.55333333333333,0.11994988906383515,96.33
40,0.07911150382757187,97.445,0.1233240669965744,96.14
41,0.07559954381187757,97.525,0.1193878155708313,96.41
42,0.06488336081703504,97.9,0.11178324716091156,96.68
43,0.06903115778764089,97.79666666666667,0.10636643052101136,96.85
44,0.06192609242796898,97.97,0.1125291942358017,96.58
45,0.06192422254482905,98.01,0.1273732268333435,96.34
46,0.06299413975079854,97.90333333333334,0.11426583714485168,96.54
47,0.05999561829169591,97.99666666666667,0.10835170004367828,97.12
48,0.05948918329377969,98.04333333333334,0.11538822989463807,96.47
49,0.05724302779038747,98.16166666666666,0.12048169283866883,96.71
50,0.06007677278319994,98.01833333333333,0.12137313251495362,96.58
51,0.053166044523318606,98.26,0.11701131255626679,96.68
52,0.05211572898924351,98.29833333333333,0.10367487990856171,96.91
53,0.051942250708738966,98.29333333333334,0.1100196692943573,96.93
54,0.047349022535483044,98.43833333333333,0.10245195834636689,97.01
55,0.04886169315973918,98.40166666666667,0.1190814643383026,96.85
56,0.05294528822700183,98.26666666666667,0.12428022431135177,96.56
57,0.04967426581134399,98.32333333333334,0.13666024191379547,96.17
58,0.04564466969271501,98.485,0.11203959453105926,97.02
59,0.04272513975997766,98.55,0.125851704621315,96.48
60,0.03753154538273811,98.76,0.1121711850643158,96.83
61,0.048018111444513005,98.41666666666667,0.11486991481781006,96.82
62,0.0445145052485168,98.55,0.11407177538871766,96.97
63,0.04021894106467565,98.64833333333333,0.11490772609710694,96.87
64,0.03595954022407532,98.825,0.12807385380268096,96.6
65,0.04014208288192749,98.67166666666667,0.1305792076587677,96.5
66,0.034899755284190176,98.9,0.12225533120632172,96.85
67,0.03303133596926928,98.93,0.11489863889217376,96.89
68,0.0373848071783781,98.85166666666667,0.12653643133640288,96.6
69,0.032453604845205944,98.94833333333334,0.13185886063575744,96.64
70,0.04257345930536588,98.6,0.13446683008670807,96.59
71,0.03338156355420748,98.915,0.11899114849567413,97.06
72,0.03427037214239438,98.83666666666667,0.11395642011165619,97.06
73,0.028323160417874655,99.1,0.15760211691856385,95.95
74,0.0344500421444575,98.91,0.12025301144123077,97.11
75,0.0315821457028389,98.99666666666667,0.14496032626628877,96.33
76,0.029025735503435134,99.07,0.11932009334564209,97.03
77,0.028283794408043225,99.11,0.12960908687114717,96.79
78,0.032489766303201516,98.98666666666666,0.15092564463615418,96.26
79,0.03351381930808226,98.925,0.14205093352794648,96.53
