epoch,loss,average_precision,roc_auc
1,0.6450372919803713,0.6791384065422115,0.7267573799007886
2,0.569525024512919,0.7211082793150361,0.7769263829108879
3,0.527845437206873,0.7778617948996616,0.8099566372220817
4,0.4874669509689982,0.8152513244101705,0.8443971129771851
5,0.46219058153105946,0.8436914386369134,0.8632729159047646
6,0.4453393199094912,0.8535424990277525,0.87308597877458
7,0.42059534352000166,0.8790356489465413,0.8910183346461493
8,0.40397008381238797,0.890324334090043,0.901671499001322
9,0.38943570343459527,0.8993205164932996,0.9104551239673295
10,0.3721802060197039,0.9058413639734746,0.9173669817424818
