epoch,loss,average_precision,roc_auc
1,0.637282984277473,0.5700964969580656,0.6018754032885028
2,0.637544495080478,0.5727101380297659,0.6031773264980023
3,0.6366240753354676,0.5698342882894433,0.6006782476316205
4,0.6355607485951088,0.5701223976060328,0.6001072521213453
5,0.657697571270422,0.5673066723710753,0.5967091521266935
6,0.635275436795055,0.570353329913536,0.6017084729901487
7,0.6347444467148756,0.5710945639560763,0.6026025613655105
8,0.6449854568214085,0.5692071562416623,0.5997119237575461
9,0.6356202772772062,0.5695514506392821,0.6000415693388029
