epoch,loss,average_precision,roc_auc
1,0.6479205995798111,0.6647816962284627,0.6929850212990385
2,0.5082935546835263,0.8072471094554796,0.8352060459349263
3,0.43427147418260575,0.8719308889861457,0.884469600423276
4,0.3904867276549339,0.8997822554337419,0.9066974729197939
5,0.35902303258577983,0.9155714395144542,0.9214496337579619
6,0.3355869397521019,0.9299547784522052,0.932184672738583
7,0.3265704018374284,0.9311224003450481,0.9352309628179644
8,0.31128431434432663,0.9401394560490139,0.9427724309809729
9,0.30035340984662373,0.9419814442471238,0.9453771430382572
10,0.2954833326240381,0.9431339701903582,0.9471072128179642
11,0.28422879402836165,0.9490580269423713,0.9512611314691604
12,0.27756088028351467,0.9496097843037969,0.9533267438925853
13,0.27563833569486934,0.9521710571753563,0.9543059395580619
14,0.26351125091314315,0.9564223665888929,0.9582000006085438
15,0.25703498522440593,0.9591099778937945,0.9601949044247907
16,0.25642803435524303,0.957720036577678,0.9597746798213588
17,0.2522401793549458,0.9584890288298599,0.9612281492656901
