epoch,loss,average_precision,roc_auc
1,0.607605056695425,0.6111426552896422,0.662521614648946
2,0.5862576127678077,0.6330561892423274,0.6866669548064925
3,0.5768084564781565,0.6479287900641802,0.7019575162634681
4,0.5720075064698072,0.6562285525652769,0.710086672973542
5,0.560659949704418,0.6631225774028631,0.7184692915793347
6,0.5562487316765184,0.6718349594048517,0.7286764115164753
7,0.545295337796837,0.6876569470989374,0.7419563005031531
8,0.542908625183456,0.6933742402735701,0.7462897940657137
9,0.5359884416073404,0.7018105428987754,0.7551974057837264
10,0.5277915897820722,0.7103761326280196,0.7634675479201839
11,0.5208817218623449,0.7179151163260198,0.7717245229339305
12,0.511420929608891,0.72586030110958,0.7800779720863265
13,0.5040040946959119,0.7328462314049836,0.7856882419387143
14,0.49488807494050563,0.7405975802476849,0.7926020818061599
15,0.48963179679836816,0.743821930620385,0.7958750901673006
16,0.48392431336770375,0.7471305795535631,0.7991232025498302
17,0.4792605710663195,0.750669273868023,0.8024848476994692
18,0.48488691160724234,0.7473895257224823,0.7993570217857606
19,0.4785964628657096,0.7514283538411949,0.8032498718341837
20,0.4785193058972557,0.7519380272084951,0.803838138252105
