epoch,loss,average_precision,roc_auc
1,0.6372950688845372,0.5695609769748984,0.6013700913481218
2,0.6372432099591716,0.5708215641859524,0.6033946385783705
3,0.636395744001615,0.5703689806969944,0.6016963529742727
4,0.6402842297446071,0.5678521522559048,0.5974431532677958
5,0.6410541963174431,0.5682537650165752,0.5974214988110779
6,0.637082111021978,0.5714814627395622,0.6034715255397142
7,0.6387935359314514,0.5683734833686916,0.5984303018122652
8,0.6379038000826448,0.5722992551708956,0.604697569810222
9,0.6381775583201662,0.5674832606004309,0.5965151323480812
10,0.6378093748561197,0.5714388259374354,0.6034832202263986
11,0.637722545271627,0.5725963483910872,0.6046250132382592
