,total,completed,completion_rate
TGAT,65.0,5.0,0.07692307692307693
JODIE,65.0,17.0,0.26153846153846155
TGN,65.0,13.0,0.2
DyGFormer,65.0,10.0,0.15384615384615385
DyGMamba,65.0,11.0,0.16923076923076924
TCL,65.0,13.0,0.2
