,kan_mammote_dual_kmote,lete,mercer,original,time2vec
DyGFormer,1,0,0,0,0
DyGMamba,1,0,0,0,1
JODIE,1,1,0,0,0
TCL,1,0,0,0,0
TGAT,1,0,0,0,0
TGN,1,0,0,0,0
