,total,completed,completion_rate
mercer,78.0,0.0,0.0
time2vec,78.0,3.0,0.038461538461538464
lete,78.0,4.0,0.05128205128205128
kan_mammote_dual_kmote,78.0,62.0,0.7948717948717948
original,78.0,0.0,0.0
