epoch,train_loss,train_acc,val_loss,val_acc
1,0.012487356147170068,40.935,1.0914048736572266,63.38
2,0.007162016785641511,69.065,0.7548827190876007,75.19
3,0.005528105508784453,76.31333333333333,0.6709018338680267,77.61
4,0.004806465032200019,79.13666666666667,0.5732743724107743,81.03
5,0.004430928608775139,80.81,0.543965802526474,82.12
6,0.004189081144829591,81.70833333333333,0.5326347806215286,82.21
7,0.004003834514816602,82.405,0.5207837932348252,82.55
8,0.0038602911661068597,83.19666666666667,0.5086446708202362,83.28
9,0.00376140166670084,83.49,0.4974692939043045,83.36
10,0.003654137206574281,83.94666666666667,0.49663069372177127,83.48
11,0.0035875222782293954,84.185,0.49025076575279236,83.64
12,0.0035056834511458875,84.41333333333333,0.498653531730175,83.34
13,0.003421217496941487,84.795,0.5049463017940521,83.41
14,0.00334837445144852,85.09666666666666,0.491049463057518,83.69
15,0.003289318652699391,85.37,0.4859790405869484,84.11
16,0.0032093075931072237,85.73,0.5022582347750664,83.34
17,0.0031566438612838587,85.82833333333333,0.48990407705307004,84.08
18,0.00307619839211305,86.32,0.4859670492291451,84.27
19,0.003038746555397908,86.36333333333333,0.4928250543951988,84.27
20,0.0029683598381777605,86.73666666666666,0.4943553213596344,84.24
21,0.0029159084434310597,86.89,0.49604905035495755,84.0
22,0.0028531515176097554,87.15333333333334,0.5044750107645989,83.9
23,0.00280024067585667,87.39333333333333,0.4957938525736332,83.92
24,0.0027402810980876285,87.61666666666666,0.5087120480775833,83.97
25,0.0026875336644550164,87.97166666666666,0.5146778118371963,83.88
26,0.002629005467146635,88.19333333333333,0.5158932929515838,83.8
27,0.0025731027245521547,88.47833333333334,0.524685472369194,84.02
28,0.0025268410506347817,88.71,0.5198077117562294,83.87
29,0.0024673484228551388,88.94333333333333,0.5254963744878769,83.87
30,0.0024108755466838677,89.11833333333334,0.5392210748195648,83.65
31,0.0023511262252926828,89.51,0.5351203376412391,83.72
32,0.0023219941864411034,89.47166666666666,0.5401271835803986,83.62
33,0.0022428213968873024,89.95333333333333,0.5590365181565284,83.34
34,0.00219132692416509,90.16333333333333,0.5644380687713623,83.44
35,0.0021461321158955495,90.445,0.565437601852417,83.44
36,0.0021043657898902894,90.52833333333334,0.5731247759222984,83.4
37,0.0020496632842967907,90.78666666666666,0.5942302751541138,82.34
38,0.0019987999194612106,91.10666666666667,0.5881245208859444,83.39
39,0.0019427668583889802,91.26666666666667,0.5953423087358475,83.13
40,0.00190368271805346,91.45,0.6192167117118835,83.16
41,0.0018527267056206863,91.71,0.6188148062348365,83.22
42,0.0018243835603197415,91.92833333333333,0.6205711711645127,83.12
43,0.0017668078771481911,92.18333333333334,0.6449820323109626,82.69
44,0.0017406412990142901,92.22333333333333,0.6425414754152298,83.06
45,0.0016812289291371903,92.47,0.6551940247893333,82.76
46,0.001668492634470264,92.62833333333333,0.6555868468880653,82.77
47,0.0015970038818816344,92.89833333333333,0.6674123346328735,82.77
48,0.0015710665540148814,93.13333333333334,0.6705732390642166,82.69
49,0.001549532964763542,93.155,0.6906834229111671,82.57
50,0.0014839229962478081,93.35166666666667,0.6827205472111701,82.71
51,0.001461411935587724,93.65833333333333,0.7083293231129646,82.49
52,0.0014352699600160123,93.71333333333334,0.7208648320198059,82.05
53,0.0014172832900037368,93.77166666666666,0.7219889387011528,82.08
54,0.001369726438758274,94.05833333333334,0.7433120115756988,82.53
55,0.0013414449360221624,94.15166666666667,0.7450814646720886,82.22
56,0.0013010484552631776,94.31333333333333,0.7549455568790436,82.17
57,0.001261906670530637,94.475,0.7442351164102554,82.63
58,0.0012409479681402445,94.57333333333334,0.7713635781764984,82.41
59,0.0012219286891321341,94.81666666666666,0.7895845722317696,82.23
60,0.0011802985717232028,94.88833333333334,0.7824345079898835,82.45
61,0.0011786732589825987,94.91333333333333,0.7984265109062195,82.43
62,0.0011543450789526105,95.00333333333333,0.8505166574954987,81.51
63,0.0011171501760060588,95.23,0.8170598829627037,82.27
64,0.0010896639112383127,95.42,0.8326817413330078,82.3
65,0.0011052646401027838,95.23666666666666,0.8331756228923798,82.03
66,0.0010800775703042745,95.345,0.8478241061210632,82.23
67,0.0010226016080627839,95.64666666666666,0.8678230360865593,82.05
68,0.0010231192742163936,95.61333333333333,0.8642653483867645,82.19
69,0.0010108047653610507,95.70666666666666,0.8723438177585602,82.38
70,0.0009995787144328157,95.70166666666667,0.856836631321907,82.26
71,0.0009856671387329697,95.74333333333334,0.905289471784234,81.71
72,0.0009429183953131239,96.03666666666666,0.9009465558052063,82.18
73,0.0009248910780996084,96.145,0.9116339692831039,82.26
74,0.0008944238528298835,96.295,0.9420978003501892,81.75
75,0.0009021573934704065,96.225,0.9189077781200409,81.96
76,0.0008872600657244523,96.33333333333333,0.9296276157855987,81.9
77,0.0008629352246721586,96.38166666666666,0.9625095010995864,81.93
78,0.000834082670416683,96.49666666666667,0.9734266855716706,81.39
79,0.000840836778904001,96.43666666666667,0.9500330173254014,81.71
80,0.0008273158351890743,96.60333333333334,0.9570759150028229,82.18
81,0.0008453596155780057,96.50666666666666,0.946316212284565,82.09
82,0.0008012054994702339,96.705,0.9747852179288864,81.61
83,0.0008002784258996447,96.60666666666667,0.9799780822992324,82.14
84,0.0007813304736278952,96.72166666666666,0.9826737049698829,81.75
85,0.0007854906958838304,96.72833333333334,0.9997192616939544,81.7
86,0.0007927826284741362,96.64833333333333,1.008913917529583,81.91
87,0.0007304626611992716,96.97166666666666,1.0309037161111831,81.71
88,0.0007317289281946917,96.92333333333333,1.0432460743904113,81.77
89,0.0007385908835257093,96.85166666666667,1.044195512509346,81.51
90,0.0007140578049235046,96.98,1.084623755455017,81.22
91,0.0007302646647828321,96.92666666666666,1.0591987028121947,82.08
92,0.0007435304396164914,96.935,1.0704482287168502,81.75
93,0.0007028378982717792,97.035,1.066164146733284,82.02
94,0.0007165007838668923,96.99,1.0878790943384171,81.82
95,0.0006910129712118457,97.1,1.0858391083240508,81.92
96,0.0006730711772417029,97.26,1.0902923211574553,81.25
97,0.0006857306171829502,97.2,1.0957430228948593,81.72
98,0.0006836435238520304,97.17166666666667,1.1114987125992775,81.44
99,0.0006973844652064144,97.13166666666666,1.1004418421626092,81.48
100,0.0006522960379409294,97.335,1.1585818021535874,81.5
