epoch,train_loss,train_acc,val_loss,val_acc
1,0.00826998648494482,60.665,0.6616702635765076,76.74
2,0.0039343082922200364,82.57666666666667,0.37968922305107117,86.52
3,0.002826053878416618,87.82,0.3713196481704712,87.84
4,0.0022514484751969574,90.63833333333334,0.24362534841895103,92.4
5,0.0019337451269229252,92.125,0.21526716855764388,93.66
6,0.0017310023720065752,92.98666666666666,0.20101789499223233,93.86
7,0.001649297271668911,93.345,0.23687055267691612,92.65
8,0.0014674795554950834,94.075,0.18152014258503915,94.62
9,0.00133915190435946,94.61666666666666,0.1950939148068428,94.08
10,0.001268221505296727,94.90333333333334,0.1632683110848069,95.28
11,0.0011891515997859339,95.22,0.1496402332648635,95.49
12,0.0012375959747781356,95.02666666666667,0.1553432211354375,95.45
13,0.0010954417078445355,95.545,0.15778155535459518,95.13
14,0.0011020733951901396,95.55833333333334,0.1574198988594115,95.24
15,0.0010109435388197501,95.98166666666667,0.14683300998806953,95.79
16,0.0008984249572424839,96.30833333333334,0.17600737054944038,94.76
17,0.0008988328838410477,96.30333333333333,0.1256954860985279,96.23
18,0.0008460512960795313,96.55833333333334,0.15267202644944192,95.46
19,0.000932016508312275,96.235,0.1317407176360488,96.12
20,0.0007836109870889534,96.84833333333333,0.19321781231164933,94.23
21,0.0007553048996565242,96.96333333333334,0.1121938524581492,96.62
22,0.0007524317767471075,96.94666666666667,0.12040859755426646,96.5
23,0.0006862355712180336,97.18,0.13120104596614837,96.25
24,0.0006844015312381089,97.07666666666667,0.1389199745707214,96.0
25,0.0006537988298106938,97.34166666666667,0.11731961425766349,96.66
26,0.0005650272319791839,97.67666666666666,0.1101821538247168,96.7
27,0.000539862866156424,97.77166666666666,0.11206955620422959,96.68
28,0.0004814637404556076,97.99,0.10570155598334968,96.9
29,0.00042373678508835535,98.22,0.11539077794142068,96.58
30,0.0003749300114965687,98.44666666666667,0.10925035702213645,96.93
31,0.0003367494032679436,98.61833333333334,0.10927261969568208,96.92
32,0.00030745145657565443,98.76166666666667,0.11370310962032527,96.88
33,0.00026827365337715796,98.925,0.10984351483469364,96.95
34,0.00025303620797155116,98.94833333333334,0.10797751864697784,97.07
35,0.0002367499483244804,99.035,0.1154432021252811,96.93
36,0.0001888090839337868,99.25,0.1220151264370419,97.01
37,0.00018461078748708437,99.27666666666667,0.11478567244713195,97.12
