Model,Best_Accuracy,Parameters,Avg_Time_per_Epoch
True_Baseline,84.4600,200458,53.23
Learnable_Position,97.2000,283018,59.99
SinCos_LSTM,92.7500,232842,59.97
LETE_LSTM,88.6600,252650,69.43
KAN_MAMMOTE_LSTM,87.9900,418862,202.81
