epoch,loss,average_precision,roc_auc
1,0.6757936346821669,0.6228919317301356,0.6532374998827842
2,0.5550490523256907,0.7728239151177163,0.8083787940379404
3,0.4829558642899118,0.82044403952985,0.8486740062452528
4,0.414504546944688,0.8883619676476507,0.897560537691882
5,0.3888773496558027,0.903281786606906,0.9086693206646598
6,0.36442578638472206,0.9126024837761507,0.919787512307649
7,0.3409872378517942,0.9272881045228807,0.930950385874101
8,0.3381829294489651,0.9262703826601458,0.931219736663197
9,0.32171071193567136,0.9337501651504666,0.9380424004369803
10,0.3101783078618166,0.9378846987054112,0.9422473776502471
