epoch,loss,average_precision,roc_auc
1,0.17318009075873084,0.9739015421588464,0.9769055878975794
2,0.14835862685585946,0.977941053610049,0.9813300503475203
3,0.13486096410772333,0.9801843578594975,0.9837211404269929
4,0.13031781515800617,0.9807588822997404,0.9842993781633909
5,0.12707596079176944,0.9810491571379404,0.9845223576877679
6,0.12580525219311436,0.9812492786896807,0.9847612047715824
7,0.12496139330006109,0.9813567265431157,0.9848229079150125
8,0.1241579241750013,0.9815692952580976,0.984933732479303
9,0.12399419213844304,0.9816221213807972,0.9850040790074077
10,0.12229806865791691,0.9820928269223839,0.9853402913085295
11,0.12448637151666173,0.9814241723993609,0.984890069172353
12,0.12247404411839238,0.9818430308185123,0.9852092006837806
13,0.12659495194161824,0.9810459817944692,0.9846143825964686
