epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,nan,0.09871666666666666,nan,0.098
2,nan,0.09871666666666666,nan,0.098
3,nan,0.09871666666666666,nan,0.098
4,nan,0.09871666666666666,nan,0.098
5,nan,0.09871666666666666,nan,0.098
6,nan,0.09871666666666666,nan,0.098
7,nan,0.09871666666666666,nan,0.098
8,nan,0.09871666666666666,nan,0.098
9,nan,0.09871666666666666,nan,0.098
10,nan,0.09871666666666666,nan,0.098
11,nan,0.09871666666666666,nan,0.098
12,nan,0.09871666666666666,nan,0.098
13,nan,0.09871666666666666,nan,0.098
14,nan,0.09871666666666666,nan,0.098
15,nan,0.09871666666666666,nan,0.098
16,nan,0.09871666666666666,nan,0.098
17,nan,0.09871666666666666,nan,0.098
18,nan,0.09871666666666666,nan,0.098
19,nan,0.09871666666666666,nan,0.098
20,nan,0.09871666666666666,nan,0.098
21,nan,0.09871666666666666,nan,0.098
22,nan,0.09871666666666666,nan,0.098
23,nan,0.09871666666666666,nan,0.098
24,nan,0.09871666666666666,nan,0.098
25,nan,0.09871666666666666,nan,0.098
26,nan,0.09871666666666666,nan,0.098
27,nan,0.09871666666666666,nan,0.098
28,nan,0.09871666666666666,nan,0.098
29,nan,0.09871666666666666,nan,0.098
30,nan,0.09871666666666666,nan,0.098
31,nan,0.09871666666666666,nan,0.098
32,nan,0.09871666666666666,nan,0.098
33,nan,0.09871666666666666,nan,0.098
34,nan,0.09871666666666666,nan,0.098
35,nan,0.09871666666666666,nan,0.098
36,nan,0.09871666666666666,nan,0.098
37,nan,0.09871666666666666,nan,0.098
38,nan,0.09871666666666666,nan,0.098
39,nan,0.09871666666666666,nan,0.098
40,nan,0.09871666666666666,nan,0.098
41,nan,0.09871666666666666,nan,0.098
42,nan,0.09871666666666666,nan,0.098
43,nan,0.09871666666666666,nan,0.098
44,nan,0.09871666666666666,nan,0.098
45,nan,0.09871666666666666,nan,0.098
46,nan,0.09871666666666666,nan,0.098
47,nan,0.09871666666666666,nan,0.098
48,nan,0.09871666666666666,nan,0.098
49,nan,0.09871666666666666,nan,0.098
50,nan,0.09871666666666666,nan,0.098
51,nan,0.09871666666666666,nan,0.098
52,nan,0.09871666666666666,nan,0.098
53,nan,0.09871666666666666,nan,0.098
54,nan,0.09871666666666666,nan,0.098
55,nan,0.09871666666666666,nan,0.098
56,nan,0.09871666666666666,nan,0.098
57,nan,0.09871666666666666,nan,0.098
58,nan,0.09871666666666666,nan,0.098
59,nan,0.09871666666666666,nan,0.098
60,nan,0.09871666666666666,nan,0.098
61,nan,0.09871666666666666,nan,0.098
62,nan,0.09871666666666666,nan,0.098
63,nan,0.09871666666666666,nan,0.098
64,nan,0.09871666666666666,nan,0.098
65,nan,0.09871666666666666,nan,0.098
66,nan,0.09871666666666666,nan,0.098
67,nan,0.09871666666666666,nan,0.098
68,nan,0.09871666666666666,nan,0.098
69,nan,0.09871666666666666,nan,0.098
70,nan,0.09871666666666666,nan,0.098
71,nan,0.09871666666666666,nan,0.098
72,nan,0.09871666666666666,nan,0.098
73,nan,0.09871666666666666,nan,0.098
74,nan,0.09871666666666666,nan,0.098
75,nan,0.09871666666666666,nan,0.098
