config_id,config_name,expert_dim,mamba_d_state,mamba_expand,mamba_headdim,embedding_dim,learning_rate,batch_size,weight_decay,mamba_d_conv,best_val_mrr,best_val_acc,best_val_recall3,num_parameters,training_time_minutes,epochs_trained,encoder_dropout,rank
218,kan_mammote_full_218,32,64,8,8,64,0.001,128,0.0,2,0.6154471533218925,40.42232277526395,0.790346908263671,349220,2.237581026554108,50,0.1,1
255,kan_mammote_full_255,32,64,8,16,64,0.001,128,0.0,2,0.6154471533218925,40.42232277526395,0.790346908263671,349220,0.017996577421824138,50,0.2,2
219,kan_mammote_full_219,32,64,8,8,64,0.001,128,0.0,2,0.6154471533218925,40.42232277526395,0.790346908263671,349220,0.018225558598836265,50,0.2,3
253,kan_mammote_full_253,32,64,8,16,64,0.001,128,0.0,2,0.6154471533218925,40.42232277526395,0.790346908263671,349220,0.017878965536753336,50,0.0,4
254,kan_mammote_full_254,32,64,8,16,64,0.001,128,0.0,2,0.6154471533218925,40.42232277526395,0.790346908263671,349220,0.01793404420216878,50,0.1,5
290,kan_mammote_full_290,32,64,8,32,64,0.001,128,0.0,2,0.6154471533218925,40.42232277526395,0.790346908263671,349220,0.020164787769317627,50,0.1,6
289,kan_mammote_full_289,32,64,8,32,64,0.001,128,0.0,2,0.6154471533218925,40.42232277526395,0.790346908263671,349220,0.017906498908996583,50,0.0,7
291,kan_mammote_full_291,32,64,8,32,64,0.001,128,0.0,2,0.6154471533218925,40.42232277526395,0.790346908263671,349220,0.017983464399973552,50,0.2,8
217,kan_mammote_full_217,32,64,8,8,64,0.001,128,0.0,2,0.5991628075022407,38.83861236802413,0.763951734989477,349220,2.358678913116455,25,0.0,9
