epoch,loss,average_precision,roc_auc
1,0.33847642896224406,0.8932066177018511,0.921436974761534
2,0.3022308238991769,0.9137053546680609,0.9360350331989686
3,0.2953671704801857,0.9166817967448428,0.9382327255047405
4,0.2875606967528715,0.9192347756765832,0.9406948335556063
5,0.2873769449535048,0.9191688601015406,0.9406772709980138
6,0.28141206711843386,0.9216042740045649,0.9426927306345475
7,0.2741806258110654,0.924170118286505,0.9448448526851252
8,0.27522387208105303,0.9236341159432618,0.9444020372489306
9,0.27946597810618407,0.9224863684303058,0.9432478607901488
10,0.2749656961465128,0.9241713304725369,0.9447380229552496
11,0.2741583327219498,0.9243026407085655,0.9449672076601028
12,0.27392337149720564,0.9248625013308703,0.9450494568167811
13,0.27010972733439315,0.9255481983327445,0.946011311974299
14,0.2698980615420538,0.9258605760224445,0.9462229509711668
15,0.2726342173110089,0.924520524787391,0.9451966604123744
16,0.26944223126116934,0.9255370836089917,0.9460999965749843
17,0.26647868115857765,0.926774657812529,0.9470725164016079
18,0.26772811353574816,0.9261354204590062,0.9466496304410331
19,0.2666269301432586,0.9265513008374302,0.946985434313385
