epoch,loss,average_precision,roc_auc
1,0.3263329955971058,0.8876777701113825,0.9183484620792711
2,0.30197140552482615,0.9076814233220252,0.9300246864217503
3,0.2909108297232244,0.914620040906427,0.9344456788957543
4,0.2807818521761916,0.9208162850233698,0.9384750612107263
5,0.27312414932968504,0.9246708009376241,0.9410746813626871
6,0.2680749272413535,0.9282592981038256,0.9432857657108514
7,0.26929094695214517,0.9273791100439163,0.9424639956716466
8,0.2623456081723865,0.9319394716404552,0.9455413926586893
9,0.267165964422721,0.9285899810668526,0.9431444013740573
10,0.2612359211101097,0.9325810514412567,0.9457911902666382
11,0.2533638688888943,0.9383505485079341,0.9495765539837464
12,0.251141024071108,0.9397612812432969,0.9504736397222672
13,0.24901411069012785,0.9411588168160311,0.9514715937446359
14,0.24835415353925477,0.9418349396445661,0.9518838477796815
15,0.24838884521065033,0.9421373432466951,0.9519642289594157
