encoder,best_val_mrr,best_val_acc,best_val_recall3,num_parameters,final_train_loss,final_val_loss,epochs_trained
fte_abs,0.6158833298963828,40.57315233785822,0.7941176469689221,86182,1.339793236482711,1.7608505703205437,59
lete_abs,0.6110345343381397,40.42232277526395,0.7752639520042443,87454,1.1277090665839968,1.8718871149721907,64
k_mote_abs,0.6078738958584302,39.44193061840121,0.7812971343282121,193769,1.154049282982236,1.8514878638369645,62
lete_rel,0.6007292254148123,39.06485671191554,0.7647058828024483,87454,1.6094549610501243,1.748298062817903,29
mercer_abs,0.6000744854717439,39.14027149321267,0.7647058820832369,86438,1.2562159924280076,1.8853064505762644,57
k_mote_rel,0.5999548859381559,38.9894419306184,0.7760180998172156,193769,1.3320125596863883,1.8030648440077655,57
mercer_rel,0.5995051750391783,38.83861236802413,0.7639517351692798,86438,1.6179285986082894,1.7510062918224305,30
fte_rel,0.5994178206636006,38.83861236802413,0.7654600306154197,86182,1.5481489726475306,1.7559933948301083,43
lstm_only,0.5987878067845464,38.68778280542986,0.7601809961044231,86518,1.5422132440975733,1.765306856837208,29
