epoch,loss,average_precision,roc_auc
1,0.4637078039073148,0.740805417822809,0.7996493286345863
2,0.45137581569658225,0.763531615751304,0.8138316508656601
3,0.38675376795140637,0.8338129018089778,0.8771727657640126
4,0.3638744710409369,0.8616345912531775,0.8961167788903012
5,0.35473430757729996,0.8710935364967594,0.9021366081147645
6,0.3477068328820758,0.8758842051849622,0.9061090062317184
7,0.3508952051296385,0.8742298499870281,0.9039167948154657
8,0.339483070706127,0.8853715264704977,0.9122262416687443
9,0.3285938525451298,0.8945819579962273,0.9188656715402486
10,0.32572234141753303,0.8950278649771716,0.9196580080773651
11,0.3159690096005405,0.9004999292245535,0.9243269248925144
12,0.30659317202957737,0.9046667116351306,0.9284141107980977
13,0.301068713381127,0.907652709591706,0.9313455854987504
14,0.29420576780144064,0.911365054529821,0.9345866686227885
15,0.2953506744939749,0.9126940377022493,0.9350335708552006
16,0.282599900238648,0.9180348668308734,0.9402483321145579
