epoch,loss,average_precision,roc_auc
1,0.6423417329788208,0.6433216798347374,0.6990239437029224
2,0.5072717055678367,0.7852450745856437,0.8268131621127295
3,0.4574492419759432,0.8344587447217219,0.8589274329925488
4,0.4299893235166868,0.867875420283766,0.8847404376022693
5,0.4101269399126371,0.8820507722484355,0.8962501194098474
6,0.4004313662648201,0.8884544316199989,0.9006157996605677
7,0.39917916258176167,0.8904191594367753,0.9011326827491312
8,0.3946140209833781,0.8923958480996517,0.9043457850386084
9,0.3832667857408524,0.9028037484058679,0.9105725287198939
10,0.38593236555655797,0.9022998688871372,0.9101970339398487
11,0.3793226478000482,0.9067434329084528,0.9133710970357147
12,0.4357059493660927,0.8774353051657494,0.884235611595129
13,0.42825153867403665,0.8788745007786268,0.8869570372361287
14,0.41862680315971373,0.8832008560081501,0.8919308134880387
15,0.40500127027432126,0.8903885818568988,0.898679616693375
