epoch,loss,average_precision,roc_auc
1,0.600986172513264,0.8426277824450243,0.8017069655432713
2,0.5063557595741458,0.88745086493616,0.841208151883422
3,0.5093335291234459,0.8869547558768284,0.8355857622771728
4,0.4567808661519027,0.9095060404326603,0.8614058699280766
5,0.4417233358069164,0.9089059487339789,0.8657985533237684
6,0.45048567361947967,0.9225235026147155,0.8896587428850068
7,0.42732710082356523,0.9312740621982084,0.9054673263566545
8,0.4004033171549076,0.9389939173592691,0.9204211093763187
9,0.3986868771111093,0.9392756118344815,0.9238885533003255
10,0.3905837346867817,0.9396899183868442,0.9229885721720539
