epoch,loss,average_precision,roc_auc
1,0.14455329779670678,0.9778496526084891,0.9807693808966628
2,0.12945466320227747,0.9808486093951516,0.9836719492865343
3,0.12652857825975397,0.9813407569217317,0.9841866466374356
4,0.12575034517027128,0.9813391024212863,0.9843302117749397
5,0.12471205124605977,0.9817126037221381,0.9845897134139188
6,0.12401102298061997,0.9815923439494636,0.9846423429456188
7,0.12337148740535285,0.9817707061270682,0.9847208556824498
8,0.12329607440102205,0.9819286228818144,0.9848328518233886
9,0.12263508797043457,0.9819270959935299,0.984929029209101
10,0.12165606616439764,0.9824160133280393,0.9852108771726411
11,0.12128319872740506,0.9824013837917582,0.9852296928075871
12,0.12136752469245211,0.9822720843266972,0.9852068597795035
13,0.12079610025788556,0.9826738796708052,0.985426689279235
14,0.12090130090995307,0.9823304781764418,0.9852814801529215
15,0.12059008834802563,0.9824152733266726,0.9853312133168715
