epoch,loss,average_precision,roc_auc
1,0.3505154577501631,0.8507617215363537,0.8963578604405282
2,0.3071792505484555,0.8909620280965075,0.9252874857135602
3,0.2786446012092745,0.9103867773415109,0.9390949862125766
4,0.25790836396052663,0.9229212048522725,0.947821406140994
5,0.23657657188056816,0.9361564115429146,0.9561355158433321
6,0.22107657320075258,0.9443235902953577,0.9611338231044458
7,0.2169462696645428,0.9454320865134697,0.9621317752468902
8,0.207755290971981,0.9492861578771824,0.9648666878658471
9,0.20507520220690895,0.9499924353056008,0.9653801215139709
10,0.20835803208407808,0.9484696832444566,0.9643479795686686
