epoch,loss,average_precision,roc_auc
1,0.6618219686717521,0.6187887743051615,0.6873412744629177
2,0.5851843633302828,0.7056977049621435,0.7603867294239552
3,0.5695307465588174,0.7180364530417669,0.7670919747095396
4,0.5530676463755165,0.740434245172344,0.7877353676118941
5,0.5437508661572527,0.7649211204393067,0.8002965761292561
6,0.49912837220401296,0.817161365910455,0.8405941715662834
7,0.46631534288569193,0.850747726638622,0.8654295418741386
8,0.4578639646855796,0.8557569984222209,0.8694811008430153
9,0.42957591428989317,0.8829744272400948,0.8909458946371471
10,0.4198629369096058,0.8860808339313634,0.8940833947543627
