epoch,loss,average_precision,roc_auc
1,0.5680402383972437,0.767293999202313,0.7652626121794872
2,0.4937915603701885,0.837069106529266,0.8455713621794871
3,0.4729617065344101,0.8481571219861038,0.8595462019230771
4,0.45743713638721367,0.8556551843174242,0.8677936698717947
5,0.45080981021508193,0.8596859881953799,0.8717878365384616
6,0.44632605749827164,0.8604257123130706,0.8737797275641026
7,0.44368328624046766,0.8619777742756423,0.8752299358974359
8,0.4432692607243856,0.8631999424315994,0.8751116666666666
9,0.4433976209698579,0.8631592258284124,0.8745806891025643
10,0.44055527234688785,0.8636918124472555,0.8759172115384614
11,0.4394492359497608,0.8647857094835656,0.8763327564102563
12,0.44017201856924937,0.8642541389186358,0.8762054166666666
13,0.44445789601558294,0.8612148245476277,0.872931266025641
14,0.441831403474013,0.8629856507690433,0.8744423076923078
15,0.4416927368212969,0.862735805903681,0.8745880128205128
16,0.44223576608376625,0.8620381092275516,0.8738370512820512
17,0.44107661434473133,0.8640402785221222,0.8751453205128205
18,0.44426244096114087,0.8626052569038728,0.8734127724358974
19,0.4467690754013184,0.8598652740104409,0.8718076762820512
20,0.4521736169472719,0.8518593925464555,0.8680296634615385
21,0.4453528901323294,0.8564822198087116,0.872200705128205
22,0.4372487934354024,0.8605185947065176,0.8760629006410255
23,0.4549815807587061,0.8551695234787137,0.8687053685897436
24,0.4660585637275989,0.8506604725991543,0.8635982211538461
25,0.46933890649905574,0.846409011620877,0.8586306089743589
26,0.46374511405443536,0.8487236724174391,0.8624994711538461
27,0.4608149900650367,0.8509444591276731,0.8639634775641024
