epoch,loss,average_precision,roc_auc
1,0.4555058446387912,0.8619673595304649,0.8795325098241318
2,0.3772254151313804,0.909586454922711,0.9091956594649874
3,0.36202788508908695,0.9209252571222588,0.9186035415190362
4,0.35422032404431075,0.9274232256863469,0.9232728101043611
5,0.3510939862665742,0.931065340819689,0.9260364044482381
6,0.3451798656132332,0.9322282163571098,0.9263885009340976
7,0.34542596288198646,0.9316217433895269,0.9267925086967725
8,0.35556863785483117,0.9302878524175948,0.9254942208738647
9,0.35019310693754707,0.9307096219674269,0.9268593639277202
10,0.3779981737566549,0.9213432925348627,0.9153737888938993
11,0.34006079667529393,0.9322494417105471,0.927451273513496
12,0.34238522196578425,0.9342326348879184,0.9288685394253688
13,0.34599248995614607,0.9307636594997767,0.9266355110159118
14,0.3470535769538824,0.9338886182663763,0.9280042598080268
15,0.34785116853755577,0.9329233518905974,0.9272573370965664
