epoch,loss,average_precision,roc_auc
1,0.43509759794315095,0.863113312174935,0.8863441621076246
2,0.3032272175835271,0.9445290063056991,0.946000712594378
3,0.2926704476546184,0.9500854034705077,0.9501619115467747
4,0.28144805298503395,0.9541702937847514,0.954639024435782
5,0.25498510799898305,0.9610659605113108,0.9622370807902273
6,0.2238971792491786,0.9708497189878748,0.970351093254863
7,0.2157914864238847,0.9735944020845714,0.9729298376610064
8,0.2096481671364143,0.9751377336962691,0.9741032175658816
9,0.19695774240079772,0.9777608176152465,0.9768717480948671
10,0.19853450181742607,0.9778567313074309,0.9764844058796999
11,0.1908502722608632,0.9794141377293142,0.9781519705165679
12,0.19720755053197808,0.9779320916304544,0.9765769320771074
