encoder,best_val_mrr,best_val_acc,best_val_recall3,num_parameters,final_train_loss,final_val_loss,epochs_trained
k_mote_abs,0.5946834769199688,38.159879336349924,0.7624434395433372,193769,1.7098638812700908,1.75014163286258,158
kan_mammote_full,0.5907301757381609,37.85822021116139,0.7594268482914518,352164,1.717943753514971,1.754482822180873,130
k_mote_rel,0.5903957659297694,37.782805429864254,0.7624434395433372,193769,1.7129497159095037,1.7551078390032278,142
lete,0.5893591422969917,37.782805429864254,0.7571644046727348,87454,1.7281526610964821,1.7665067921936242,122
mercer,0.5892224695325574,37.70739064856712,0.7564102568597635,86438,1.7317466820989336,1.766034323165859,104
lstm_only,0.5862482443901516,37.631975867269986,0.751131222348767,86518,1.7513126645769392,1.781199708783249,54
